Mighty Morphin Power Rangers,1993-08-28,1994-05-23
Mighty Morphin Alien Rangers,1996-02-05,1996-02-17
Power Rangers Zeo,1996-04-20,1996-11-27
Power Rangers Turbo,1997-04-19,1997-11-24
Power Rangers in Space,1998-02-06,1998-11-21
Power Rangers Lost Galaxy,1999-02-06,1999-12-18
Power Rangers Lightspeed Rescue,2000-02-12,2000-11-18
Power Rangers Time Force,2001-02-03,2001-11-17
Power Rangers Wild Force,2002-02-09,2002-11-16
Power Rangers Ninja Storm,2003-02-15,2003-11-15
Power Rangers Dino Thunder,2004-02-14,2004-11-20
Power Rangers S.P.D.,2005-02-05,2005-11-14
Power Rangers Mystic Force,2006-02-20,2006-11-13
Power Rangers Operation Overdrive,2007-02-26,2007-11-12
Power Rangers Jungle Fury,2008-02-18,2008-11-03
Power Rangers RPM,2009-03-07,2009-12-26
Mighty Morphin Power Rangers,2010-01-02,2010-08-28
Power Rangers Samurai,2011-02-07,2011-12-10
Power Rangers Super Samurai,2012-02-18,2012-12-15
Power Rangers Megaforce,2013-02-02,2013-12-07
Power Rangers Super Megaforce,2014-02-15,2014-11-22
Power Rangers Dino Charge,2015-02-07,2015-12-12
Power Rangers Dino Super Charge,2016-01-30,2016-12-10
Power Rangers Ninja Steel,2017-01-21,2017-12-02
Power Rangers Super Ninja Steel,2018-01-27,2018-12-01
Power Rangers Beast Morphers,2019-03-02,TBA
